Date,Closing Price (USD)
2020-12-28,12838.86
2020-12-29,12843.49
2020-12-30,12845.36
2020-12-31,12888.28
2021-01-04,12694.66
2021-01-05,12802.38
2021-01-06,12623.35
2021-01-07,12939.57
2021-01-08,13105.2
2021-01-11,12902.49
2021-01-12,12892.09
2021-01-13,12973.63
2021-01-14,12898.69
2021-01-15,12803.93
2021-01-19,12996.54
2021-01-20,13296.45
2021-01-21,13404.99
2021-01-22,13366.4
2021-01-25,13483.29
2021-01-26,13490.19
2021-01-27,13112.65
2021-01-28,13201.53
2021-01-29,12925.38
2021-02-01,13248.9
2021-02-02,13456.12
2021-02-03,13402.37
2021-02-04,13560.89
2021-02-05,13603.96
2021-02-08,13695.02
2021-02-09,13687.08
2021-02-10,13655.27
2021-02-11,13734.35
2021-02-12,13807.7
2021-02-16,13773.77
2021-02-17,13699.71
2021-02-18,13637.51
2021-02-19,13580.78
2021-02-22,13223.74
2021-02-23,13194.71
2021-02-24,13302.19
2021-02-25,12828.31
2021-02-26,12909.44
2021-03-01,13282.95
2021-03-02,13059.95
2021-03-03,12683.33
2021-03-04,12464.0
2021-03-05,12668.51
2021-03-08,12299.08
2021-03-09,12794.49
2021-03-10,12752.07
2021-03-11,13052.9
2021-03-12,12937.29
2021-03-15,13082.54
2021-03-16,13152.28
2021-03-17,13202.38
2021-03-18,12789.14
2021-03-19,12866.99
2021-03-22,13086.51
2021-03-23,13017.79
2021-03-24,12798.88
2021-03-25,12780.51
2021-03-26,12979.12
2021-03-29,12965.74
2021-03-30,12896.53
2021-03-31,13091.44
2021-04-01,13329.51
2021-04-05,13598.16
2021-04-06,13578.46
2021-04-07,13616.7
2021-04-08,13758.5
2021-04-09,13845.05
2021-04-12,13819.35
2021-04-13,13986.49
2021-04-14,13803.91
2021-04-15,14026.19
2021-04-16,14041.91
2021-04-19,13907.67
2021-04-20,13809.3
2021-04-21,13935.15
2021-04-22,13762.36
2021-04-23,13941.44
2021-04-26,14026.16
2021-04-27,13960.28
2021-04-28,13901.62
2021-04-29,13970.2
2021-04-30,13860.76
2021-05-03,13799.72
2021-05-04,13544.67
2021-05-05,13503.37
2021-05-06,13613.73
2021-05-07,13719.63
2021-05-10,13359.08
2021-05-11,13351.27
2021-05-12,13001.63
2021-05-13,13109.15
2021-05-14,13393.12
